dataset,year,method,title,BLEU,SACREBLEU,#flops,#multiply-adds,gpu,tpu,#gpu,#tpu,hw time,hw_gflops,time_sec,#param,#epochs,#data points,,paper,authors implementation
WMT2014 English-French,2019,DynamicConv,Pay Less Attention with Lightweight and Dynamic Convolutions,43.2,,,,Tesla V100 PCIe 32 GB,,8,,80k steps,1.13E+05,,,,,,https://arxiv.org/pdf/1901.10430v2.pdf,
WMT2014 English-French,2019,LightConv,Pay Less Attention with Lightweight and Dynamic Convolutions,43.1,,,,Tesla V100 PCIe 32 GB,,8,,80k steps,1.13E+05,,,,,,https://arxiv.org/pdf/1901.10430v2.pdf,
WMT2014 English-French,2018,Unsupervised PBSMT,Phrase-Based & Neural Unsupervised Machine Translation,28.11,,,,,,,,,,,,,,,https://arxiv.org/pdf/1804.07755v2.pdf,
WMT2014 English-French,2018,PBSMT + NMT,Phrase-Based & Neural Unsupervised Machine Translation,27.6,,,,,,,,,,,,,,,https://arxiv.org/pdf/1804.07755v2.pdf,
WMT2014 English-French,2018,Unsupervised NMT + Transformer,Phrase-Based & Neural Unsupervised Machine Translation,25.14,,,,,,,,,,,,,,,https://arxiv.org/pdf/1804.07755v2.pdf,
WMT2014 English-French,2014,Regularized LSTM,Recurrent Neural Network Regularization,29.03,,,,Tesla K20,,1,,12 hrs,3.52E+03,43200,,,,,https://arxiv.org/pdf/1409.2329v5.pdf,
WMT2014 English-French,2018,Transformer Big,Scaling Neural Machine Translation,43.2,,,,Tesla V100 PCIe 32 GB,,128,,8.5hrs,1.81E+06,30600,,,,,https://arxiv.org/pdf/1806.00187v3.pdf,
WMT2014 English-French,2018,"Transformer (big)",Self-Attention with Relative Position Representations,41.5,,,,Tesla P100 PCIe 16 GB,,8,,300k steps,7.62E+04,,,,,,https://arxiv.org/pdf/1803.02155v2.pdf,
WMT2014 English-French,2014,SMT+LSTM5,Sequence to Sequence Learning with Neural Networks,36.5,,,,,,8,,10 days,,864000,,,,,https://arxiv.org/pdf/1409.3215v3.pdf,
WMT2014 English-French,2014,LSTM,Sequence to Sequence Learning with Neural Networks,34.81,,,,,,8,,10 days,,864000,,,,,https://arxiv.org/pdf/1409.3215v3.pdf,
WMT2014 English-French,2018,RNMT+,The Best of Both Worlds: Combining Recent Advances in Neural Machine Translation,41,,2.81E+10,,Tesla P100 PCIe 16 GB,,32,,120h,3.05E+05,432000,3.79E+08,8.5,,,https://arxiv.org/pdf/1804.09849v2.pdf,
WMT2014 English-French,2019,Evolved Transformer Base,The Evolved Transformer,40.6,,,,,Cloud TPU v2,,16,,180000,,6.38E+07,,,,https://arxiv.org/pdf/1901.11117v4.pdf,
WMT2014 English-French,2019,Evolved Transformer Big,The Evolved Transformer,41.3,,,,,Cloud TPU v2,,16,,180000,,2.21E+08,,,,https://arxiv.org/pdf/1901.11117v4.pdf,
WMT2014 English-French,2018,Transformer Big + BT,Understanding Back-Translation at Scale,45.6,43.8,,,Tesla V100 PCIe 32 GB,,128,,27hrs 40mins,1.81E+06,99600,,,,,https://arxiv.org/pdf/1808.09381v2.pdf,
WMT2014 English-French,2018,"SMT + iterative backtranslation (unsupervised)",Unsupervised Statistical Machine Translation,26.22,,,,GeForce Titan X,,1,,4-5 days,,388800,,,,PyTorch,https://arxiv.org/pdf/1710.11041v2.pdf,https://github.com/paarthneekhara/byteNet-tensorflow
WMT2014 English-French,2017,"Weighted Transformer (large)",Weighted Transformer Network for Machine Translation,41.4,,,,Tesla K80,,,,,,,,,,,https://arxiv.org/pdf/1711.02132v1.pdf,
WMT2014 English-French,2017,Unsupervised attentional encoder-decoder + BPE,Unsupervised Statistical Machine Translation,14.36,,,,GeForce Titan X,,1,,4-5 days,,388800,,,,PyTorch,https://arxiv.org/pdf/1710.11041v2.pdf,https://github.com/paarthneekhara/byteNet-tensorflow
