dataset,year,method,title,BLEU,SACREBLEU,#flops,#multiply-adds,gpu,tpu,#gpu,#tpu,hw time,hw_gflops,time_sec,#param,#epochs,#data points,,paper,authors implementation
WMT2014 English-German,2018,Unsupervised PBSMT,Phrase-Based & Neural Unsupervised Machine Translation,17.94,,,,,,,,,,,,,,,https://arxiv.org/pdf/1804.07755v2.pdf,
WMT2014 English-German,2018,PBSMT + NMT,Phrase-Based & Neural Unsupervised Machine Translation,20.23,,,,,,,,,,,,,,,https://arxiv.org/pdf/1804.07755v2.pdf,
WMT2014 English-German,2018,Transformer Big,Scaling Neural Machine Translation,29.3,,,,Tesla V100 PCIe 32 GB,,128,,85 mins,1.81E+06,5100,,,,,https://arxiv.org/pdf/1806.00187v3.pdf,
WMT2014 English-German,2018,"Transformer 
(big)",Self-Attention with Relative Position Representations,29.2,,,,Tesla P100 PCIe 16 GB,,8,,300k steps,7.62E+04,,,,,,https://arxiv.org/pdf/1803.02155v2.pdf,
WMT2014 English-German,2016,Seq-KD + Seq-Inter + Word-KD,Sequence-Level Knowledge Distillation,18.5,,,,GeForce Titan X,,1,,,1.10E+04,,8.00E+06,,,,https://arxiv.org/pdf/1606.07947v4.pdf,
WMT2014 English-German,2017,Transformer + SRU,Simple Recurrent Units for Highly Parallelizable Recurrence,28.4,,,,Tesla V100 PCIe 32 GB,,8,,3.5days,1.13E+05,302400,,40,,,https://arxiv.org/pdf/1709.02755v5.pdf,
WMT2014 English-German,2019,SB-NMT,Synchronous Bidirectional Neural Machine Translation,29.21,,,,GeForce Titan Xp,,3,,,3.41E+04,,,,,,https://arxiv.org/pdf/1905.04847v1.pdf,
WMT2014 English-German,2018,RNMT+,The Best of Both Worlds: Combining Recent Advances in Neural Machine Translation,28.5,,2.81E+10,,Tesla P100 PCIe 16 GB,,32,,40hrs,3.05E+05,144000,3.79E+08,24.6,,,https://arxiv.org/pdf/1804.09849v2.pdf,
WMT2014 English-German,2019,Evolved Transformer Big,The Evolved Transformer,29.3,,,,,Cloud TPU v2,,16,36000,180000,36000,2.22E+08,,,,https://arxiv.org/pdf/1901.11117v4.pdf,
WMT2014 English-German,2019,Evolved Transformer Base,The Evolved Transformer,28.4,,,,,Cloud TPU v2,,16,36000,180000,36000,6.41E+07,,,,https://arxiv.org/pdf/1901.11117v4.pdf,
WMT2014 English-German,2018,Transformer Big + BT,Understanding Back-Translation at Scale,35,33.8,,,Tesla V100 PCIe 32 GB,,128,,22.5hrs,1.81E+06,81000,,,,,https://arxiv.org/pdf/1808.09381v2.pdf,
WMT2014 English-German,2018,universal transformer base,Universal Transformers,28.9,,,,Tesla P100 PCIe 16 GB,,8,,,7.62E+04,,,,,,https://arxiv.org/pdf/1807.03819v3.pdf,
WMT2014 English-German,2017,"Weighted Transformer 
(large)",Weighted Transformer Network for Machine Translation,28.9,,,,Tesla K80,,,,250k steps,,,2.13E+08,,,,https://arxiv.org/pdf/1711.02132v1.pdf,
